codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
31001,CALI,VALLE,Valle del Cauca,1839148,1053010,786138,20282,1321,541270,51.4,371718,35.3,45989,-169552,16.1
16001,BOGOTA. D.C.,BOGOTA D.C.,Bogotá centro/occidente,6076599,4094508,1982091,70144,2297,1706249,41.67,1543517,37.69,258410,-162732,3.980000000000004
05001,CARTAGENA,BOLIVAR,Caribe + Magdalena Medio,866447,418110,448337,7905,545,239504,57.28,142674,34.12,11612,-96830,23.160000000000004
23001,PASTO,NARIÑO,Sur andino Nariño,315437,213368,102069,3508,287,140876,66.02,49473,23.18,6816,-91403,42.839999999999996
15247,SOACHA,CUNDINAMARCA,Bogotá región,362686,255080,107606,5239,222,139603,54.72,72682,28.49,10616,-66921,26.23
31019,BUENAVENTURA,VALLE,Pacífico afro,233201,89716,143485,1233,241,72065,80.32,10788,12.02,852,-61277,68.3
11001,POPAYAN,CAUCA,Pacífico indígena/campesino,269520,184022,85498,3522,356,104468,56.76,49238,26.75,6763,-55230,30.009999999999998
03052,SOLEDAD,ATLANTICO,Caribe norte,343745,168549,175196,2059,203,104590,62.05,54568,32.37,3265,-50022,29.68
31079,PALMIRA,VALLE,Valle del Cauca,289345,163830,125515,3436,271,90115,55.0,52511,32.05,6511,-37604,22.950000000000003
23139,TUMACO,NARIÑO,Pacífico afro,143672,54029,89643,922,214,41118,76.1,7153,13.23,480,-33965,62.86999999999999
21001,SANTA MARTA,MAGDALENA,Caribe norte,408863,215262,193601,3898,251,112812,52.4,79356,36.86,5749,-33456,15.54
27019,BARRANCABERMEJA,SANTANDER,Magdalena Medio,188674,119407,69267,2205,183,69511,58.21,38355,32.12,2927,-31156,26.090000000000003
31121,YUMBO,VALLE,Valle del Cauca,112799,65405,47394,1035,105,44723,68.37,14169,21.66,1531,-30554,46.71000000000001
28001,SINCELEJO,SUCRE,Caribe + Magdalena Medio,221269,125329,95940,1888,266,71183,56.79,45664,36.43,2258,-25519,20.36
31031,CANDELARIA,VALLE,Valle del Cauca,89247,54085,35162,1127,96,36468,67.42,11821,21.85,1307,-24647,45.57
11076,SANTANDER DE QUILICHAO,CAUCA,Pacífico indígena/campesino,87246,55584,31662,1328,201,36828,66.25,12819,23.06,1147,-24009,43.19
17001,QUIBDO,CHOCO,Pacífico afro,88487,40138,48349,789,150,29900,74.49,5914,14.73,459,-23986,59.75999999999999
23067,IPIALES,NARIÑO,Sur andino Nariño,105954,56243,49711,1015,206,35198,62.58,14914,26.51,1572,-20284,36.06999999999999
31064,JAMUNDI,VALLE,Valle del Cauca,132159,80922,51237,1807,199,45076,55.7,25922,32.03,2832,-19154,23.67
03022,MALAMBO,ATLANTICO,Caribe norte,94794,43119,51675,445,68,29475,68.35,11621,26.95,546,-17854,41.39999999999999
