codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,votos_validos,votos_cepeda,pct_cepeda,ganador_codpar,ganador_pct,potencial_no_votante,brecha_votos_vs_ganador,nbi_score,score_oportunidad
16001,BOGOTA. D.C.,BOGOTA D.C.,Bogotá centro/occidente,6076599,4094508,1706249,41.67,7,41.67,1982091,0,0.4,1400717.0
31001,CALI,VALLE,Valle del Cauca,1839148,1053010,541270,51.4,7,51.4,786138,0,0.4,586151.0
03001,BARRANQUILLA,ATLANTICO,Caribe norte,1186097,598064,281123,47.0,7,47.0,588033,0,0.4,428101.0
01001,MEDELLIN,ANTIOQUIA,Antioquia metropolitana,1891862,1227731,300729,24.49,10,55.09,664131,375629,0.4,423701.0
05001,CARTAGENA,BOLIVAR,Caribe + Magdalena Medio,866447,418110,239504,57.28,7,57.28,448337,0,0.4,344829.0
25001,CUCUTA,NORTE DE SAN,Norte Santander urbano (Cúcuta),650786,370744,56294,15.18,10,72.12,280042,211118,0.4,168231.0
88360,ESTADOS UNIDOS,CONSULADOS,Exterior (consulados),454262,200171,28548,14.26,10,73.03,254091,117653,0.4,151704.0
21001,SANTA MARTA,MAGDALENA,Caribe norte,408863,215262,112812,52.4,7,52.4,193601,0,0.4,145129.0
03052,SOLEDAD,ATLANTICO,Caribe norte,343745,168549,104590,62.05,7,62.05,175196,0,0.4,138092.0
24001,PEREIRA,RISARALDA,Eje cafetero,463062,273599,96694,35.34,10,45.62,189463,28140,0.4,129094.0
88355,ESPAÑA,CONSULADOS,Exterior (consulados),307996,127207,54162,42.57,7,42.57,180789,0,0.4,128416.0
13001,MONTERIA,CORDOBA,Caribe + Magdalena Medio,374004,207008,104497,50.47,7,50.47,166996,0,0.4,123897.0
31019,BUENAVENTURA,VALLE,Pacífico afro,233201,89716,72065,80.32,7,80.32,143485,0,0.4,123584.0
27001,BUCARAMANGA,SANTANDER,Santanderes urbanos,524202,341323,91324,26.75,10,58.1,182879,107008,0.4,118327.0
12001,VALLEDUPAR,CESAR,Caribe norte,348470,188358,89773,47.66,7,47.66,160112,0,0.4,116985.0
29001,IBAGUE,TOLIMA,Sur Tolima-Huila-Caquetá,474707,304909,109574,35.93,10,46.36,169798,31786,0.4,116099.0
01049,BELLO,ANTIOQUIA,Antioquia metropolitana,379595,225626,63055,27.94,10,51.71,153969,53635,0.4,100355.0
88815,VENEZUELA,CONSULADOS,Exterior (consulados),180782,21601,4352,20.14,10,66.26,159181,9961,0.4,98786.0
52001,VILLAVICENCIO,META,Llanos petroleros,405049,258018,78547,30.44,10,52.99,147031,58183,0.4,97301.0
31079,PALMIRA,VALLE,Valle del Cauca,289345,163830,90115,55.0,7,55.0,125515,0,0.4,95394.0
48016,URIBIA,LA GUAJIRA,Caribe norte,131218,22269,12551,56.36,7,56.36,108949,0,0.4,83394.0
23001,PASTO,NARIÑO,Sur andino Nariño,315437,213368,140876,66.02,7,66.02,102069,0,0.4,82074.0
15247,SOACHA,CUNDINAMARCA,Bogotá región,362686,255080,139603,54.72,7,54.72,107606,0,0.4,81664.0
09001,MANIZALES,CALDAS,Eje cafetero,348633,230488,73993,32.1,10,42.75,118145,24547,0.4,78969.0
19001,NEIVA,HUILA,Sur Tolima-Huila-Caquetá,297225,183829,71549,38.92,10,46.78,113396,14449,0.4,78888.0
23139,TUMACO,NARIÑO,Pacífico afro,143672,54029,41118,76.1,7,76.1,89643,0,0.4,75696.0
26001,ARMENIA,QUINDIO,Eje cafetero,281258,169637,53484,31.52,10,49.73,111621,30880,0.4,74352.0
28001,SINCELEJO,SUCRE,Caribe + Magdalena Medio,221269,125329,71183,56.79,7,56.79,95940,0,0.4,73604.0
48010,MAICAO,LA GUAJIRA,Caribe norte,141996,49978,25692,51.4,7,51.4,92018,0,0.4,68611.0
