idx,codigo_interno,nombre,departamento_idx,departamento_nombre,cluster
364,60010,EL ENCANTO,1,AMAZONAS,Amazonía
541,60013,LA CHORRERA,1,AMAZONAS,Amazonía
560,60016,LA PEDRERA,1,AMAZONAS,Amazonía
579,60017,LA VICTORIA,1,AMAZONAS,Amazonía
589,60001,LETICIA,1,AMAZONAS,Amazonía
650,60019,MIRITI PARANA,1,AMAZONAS,Amazonía
802,60030,PUERTO ALEGRIA,1,AMAZONAS,Amazonía
803,60040,PUERTO ARICA,1,AMAZONAS,Amazonía
820,60007,PUERTO NARIÑO,1,AMAZONAS,Amazonía
828,60021,PUERTO SANTANDER,1,AMAZONAS,Amazonía
1085,60022,TARAPACA,1,AMAZONAS,Amazonía
35,01004,ABEJORRAL,2,ANTIOQUIA,Antioquia rural uribista
37,01007,ABRIAQUI,2,ANTIOQUIA,Antioquia rural uribista
57,01010,ALEJANDRIA,2,ANTIOQUIA,Antioquia rural uribista
68,01013,AMAGA,2,ANTIOQUIA,Antioquia rural uribista
69,01016,AMALFI,2,ANTIOQUIA,Antioquia rural uribista
74,01019,ANDES,2,ANTIOQUIA,Antioquia rural uribista
75,01022,ANGELOPOLIS,2,ANTIOQUIA,Antioquia rural uribista
76,01025,ANGOSTURA,2,ANTIOQUIA,Antioquia rural uribista
78,01028,ANORI,2,ANTIOQUIA,Antioquia rural uribista
81,01031,ANTIOQUIA,2,ANTIOQUIA,Antioquia rural uribista
82,01034,ANZA,2,ANTIOQUIA,Antioquia rural uribista
84,01035,APARTADO,2,ANTIOQUIA,Urabá
96,01037,ARBOLETES,2,ANTIOQUIA,Urabá
99,01039,ARGELIA,2,ANTIOQUIA,Antioquia rural uribista
106,01040,ARMENIA,2,ANTIOQUIA,Antioquia rural uribista
126,01043,BARBOSA,2,ANTIOQUIA,Antioquia metropolitana
142,01049,BELLO,2,ANTIOQUIA,Antioquia metropolitana
143,01046,BELMIRA,2,ANTIOQUIA,Antioquia rural uribista
146,01052,BETANIA,2,ANTIOQUIA,Antioquia rural uribista
148,01055,BETULIA,2,ANTIOQUIA,Antioquia rural uribista
156,01058,BOLIVAR,2,ANTIOQUIA,Antioquia rural uribista
164,01062,BRICEÑO,2,ANTIOQUIA,Antioquia rural uribista
178,01061,BURITICA,2,ANTIOQUIA,Antioquia rural uribista
184,01064,CACERES,2,ANTIOQUIA,Antioquia rural uribista
188,01067,CAICEDO,2,ANTIOQUIA,Antioquia rural uribista
197,01070,CALDAS,2,ANTIOQUIA,Antioquia metropolitana
204,01073,CAMPAMENTO,2,ANTIOQUIA,Antioquia rural uribista
