codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
19001,NEIVA,HUILA,Sur Tolima-Huila-Caquetá,297225,183829,113396,3098,200,71549,38.92,85998,46.78,7149,14449,-7.859999999999999
24025,DOSQUEBRADAS,RISARALDA,Eje cafetero,181405,107908,73497,2221,219,40698,37.71,46881,43.44,6245,6183,-5.729999999999997
31034,CARTAGO,VALLE,Valle del Cauca,122213,65738,56475,1346,162,24806,37.73,30265,46.03,2887,5459,-8.300000000000004
15109,GIRARDOT,CUNDINAMARCA,Bogotá región,87128,55222,31906,841,59,21283,38.54,26476,47.94,1620,5193,-9.399999999999999
29046,ESPINAL,TOLIMA,Sur Tolima-Huila-Caquetá,62996,38838,24158,735,99,13830,35.6,17320,44.59,943,3490,-8.990000000000002
13019,CHINU,CORDOBA,Caribe + Magdalena Medio,40358,23683,16675,366,146,9086,38.36,11401,48.14,234,2315,-9.780000000000001
09049,LA DORADA,CALDAS,Eje cafetero,57276,30571,26705,595,108,11685,38.22,13888,45.42,800,2203,-7.200000000000003
07277,SOGAMOSO,BOYACA,Boyacá-Cundi rural,101453,70423,31030,1167,76,27481,39.02,29674,42.13,3867,2193,-3.1099999999999994
09130,VILLAMARIA,CALDAS,Eje cafetero,48521,31809,16712,676,90,10967,34.47,13096,41.17,1917,2129,-6.700000000000003
07079,DUITAMA,BOYACA,Boyacá-Cundi rural,97592,69312,28280,1116,37,27239,39.29,29238,42.18,4134,1999,-2.8900000000000006
15139,LA CALERA,CUNDINAMARCA,Bogotá región,25657,18082,7575,343,11,6218,34.38,7725,42.72,1253,1507,-8.339999999999996
31091,ROLDANILLO,VALLE,Valle del Cauca,31529,19202,12327,333,38,7297,38.0,8798,45.81,783,1501,-7.810000000000002
07181,PAIPA,BOYACA,Boyacá-Cundi rural,30726,21309,9417,367,22,7950,37.3,9133,42.85,1092,1183,-5.550000000000004
19044,ISNOS,HUILA,Sur Tolima-Huila-Caquetá,22743,13164,9579,356,63,5078,38.57,6223,47.27,245,1145,-8.700000000000003
29076,MARIQUITA,TOLIMA,Sur Tolima-Huila-Caquetá,30400,16746,13654,394,64,6437,38.43,7507,44.82,442,1070,-6.390000000000001
09124,SUPIA,CALDAS,Eje cafetero,24049,12214,11835,355,97,4159,34.05,5135,42.04,330,976,-7.990000000000002
15072,EL ROSAL,CUNDINAMARCA,Bogotá región,21040,14753,6287,404,34,5587,37.87,6554,44.42,576,967,-6.550000000000004
29085,ORTEGA,TOLIMA,Sur Tolima-Huila-Caquetá,23599,11455,12144,165,82,4172,36.42,5056,44.13,128,884,-7.710000000000001
01037,ARBOLETES,ANTIOQUIA,Urabá,23451,9773,13678,93,37,4120,42.15,4837,49.49,157,717,-7.340000000000003
31010,ANSERMANUEVO,VALLE,Valle del Cauca,18690,8358,10332,162,42,2708,32.4,3422,40.94,201,714,-8.54
05013,CALAMAR,BOLIVAR,Caribe + Magdalena Medio,21022,8118,12904,106,43,3427,42.21,4103,50.54,50,676,-8.329999999999998
12850,SAN DIEGO,CESAR,Caribe norte,17710,8841,8869,139,19,3854,43.59,4457,50.41,107,603,-6.819999999999993
29052,FLANDES,TOLIMA,Sur Tolima-Huila-Caquetá,20068,11934,8134,204,24,4797,40.19,5385,45.12,183,588,-4.93
01300,YONDO-CASABE,ANTIOQUIA,Antioquia rural uribista,16121,9173,6948,225,35,3711,40.45,4286,46.72,209,575,-6.269999999999996
88305,CHILE,CONSULADOS,Exterior (consulados),45253,18233,27020,226,15,7341,40.26,7897,43.31,738,556,-3.0500000000000043
15175,NEMOCON,CUNDINAMARCA,Bogotá región,11727,8325,3402,189,23,3249,39.02,3786,45.47,283,537,-6.449999999999996
21060,SABANAS DE SAN ANGEL,MAGDALENA,Caribe norte,12701,5459,7242,53,18,2162,39.6,2687,49.22,32,525,-9.619999999999997
09103,RIOSUCIO,CALDAS,Eje cafetero,41284,23537,17747,515,131,9331,39.64,9843,41.81,586,512,-2.1700000000000017
12800,SAN ALBERTO,CESAR,Caribe norte,20555,11519,9036,145,19,4921,42.72,5419,47.04,288,498,-4.32
25022,CONVENCION,NORTE DE SAN,Catatumbo / Frontera,16641,6290,10351,145,19,2594,41.24,3082,48.99,132,488,-7.75
01154,ITUANGO,ANTIOQUIA,Antioquia rural uribista,17661,4736,12925,238,77,1547,32.66,2001,42.25,181,454,-9.590000000000003
07049,COMBITA,BOYACA,Boyacá-Cundi rural,10018,6000,4018,97,7,2125,35.41,2554,42.56,233,429,-7.150000000000006
01231,SAN JUAN DE URABA,ANTIOQUIA,Urabá,21117,7660,13457,114,31,3097,40.43,3525,46.01,81,428,-5.579999999999998
05070,SAN ESTANISLAO,BOLIVAR,Caribe + Magdalena Medio,16556,7230,9326,121,36,3101,42.89,3494,48.32,74,393,-5.43
31004,ALCALA,VALLE,Valle del Cauca,12604,6258,6346,108,32,2456,39.24,2833,45.27,133,377,-6.030000000000001
19091,VILLAVIEJA,HUILA,Sur Tolima-Huila-Caquetá,6830,3937,2893,59,13,1608,40.84,1951,49.55,47,343,-8.709999999999994
05025,EL GUAMO,BOLIVAR,Caribe + Magdalena Medio,8429,3395,5034,33,18,1458,42.94,1784,52.54,18,326,-9.600000000000001
29094,PURIFICACION,TOLIMA,Sur Tolima-Huila-Caquetá,20378,11980,8398,192,30,4918,41.05,5234,43.68,163,316,-2.6300000000000026
29121,VENADILLO,TOLIMA,Sur Tolima-Huila-Caquetá,11870,6341,5529,89,23,2527,39.85,2842,44.81,96,315,-4.960000000000001
15004,AGUA DE DIOS,CUNDINAMARCA,Bogotá región,9859,5847,4012,97,11,2401,41.06,2712,46.38,136,311,-5.32
52058,SAN JUAN DE ARAMA,META,Llanos petroleros,6385,3570,2815,68,10,1376,38.54,1682,47.11,40,306,-8.57
15043,COGUA,CUNDINAMARCA,Bogotá región,17144,12624,4520,290,13,4940,39.13,5245,41.54,674,305,-2.4099999999999966
05073,SAN FERNANDO,BOLIVAR,Caribe + Magdalena Medio,10249,3726,6523,27,12,1637,43.93,1899,50.96,20,262,-7.030000000000001
29049,FALAN,TOLIMA,Sur Tolima-Huila-Caquetá,6311,3419,2892,56,15,1268,37.08,1518,44.39,68,250,-7.310000000000002
