codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
52001,VILLAVICENCIO,META,Llanos petroleros,405049,258018,147031,3746,200,78547,30.44,136730,52.99,11253,58183,-22.55
01049,BELLO,ANTIOQUIA,Antioquia metropolitana,379595,225626,153969,4627,345,63055,27.94,116690,51.71,18325,53635,-23.77
29001,IBAGUE,TOLIMA,Sur Tolima-Huila-Caquetá,474707,304909,169798,5363,376,109574,35.93,141360,46.36,13631,31786,-10.43
26001,ARMENIA,QUINDIO,Eje cafetero,281258,169637,111621,3008,244,53484,31.52,84364,49.73,10696,30880,-18.209999999999997
24001,PEREIRA,RISARALDA,Eje cafetero,463062,273599,189463,5308,620,96694,35.34,124834,45.62,15624,28140,-10.279999999999994
09001,MANIZALES,CALDAS,Eje cafetero,348633,230488,118145,4530,469,73993,32.1,98540,42.75,18129,24547,-10.649999999999999
27091,GIRON,SANTANDER,Santanderes urbanos,133606,85826,47780,1648,75,25499,29.71,48682,56.72,3561,23183,-27.009999999999998
15055,CHIA,CUNDINAMARCA,Bogotá región,124222,94808,29414,1584,49,26293,27.73,47983,50.61,7246,21690,-22.88
44001,FLORENCIA,CAQUETA,Sur Tolima-Huila-Caquetá,137546,78308,59238,1525,144,26756,34.16,41108,52.49,2590,14352,-18.330000000000005
15094,FUSAGASUGA,CUNDINAMARCA,Bogotá región,124137,82659,41478,1309,74,27302,33.02,41650,50.38,3475,14348,-17.36
52005,ACACIAS,META,Llanos petroleros,78857,57447,21410,1128,82,17424,30.33,30711,53.45,2025,13287,-23.120000000000005
12075,AGUACHICA,CESAR,Caribe norte,77716,45830,31886,732,79,14388,31.39,27327,59.62,1074,12939,-28.229999999999997
19061,PITALITO,HUILA,Sur Tolima-Huila-Caquetá,114211,64710,49501,1264,124,21913,33.86,34502,53.31,1865,12589,-19.450000000000003
