codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
01001,MEDELLIN,ANTIOQUIA,Antioquia metropolitana,1891862,1227731,664131,23454,2292,300729,24.49,676358,55.09,105609,375629,-30.600000000000005
25001,CUCUTA,NORTE DE SAN,Norte Santander urbano (Cúcuta),650786,370744,280042,3915,369,56294,15.18,267412,72.12,17133,211118,-56.940000000000005
88360,ESTADOS UNIDOS,CONSULADOS,Exterior (consulados),454262,200171,254091,652,31,28548,14.26,146201,73.03,6700,117653,-58.77
27001,BUCARAMANGA,SANTANDER,Santanderes urbanos,524202,341323,182879,5025,192,91324,26.75,198332,58.1,19051,107008,-31.35
01121,ENVIGADO,ANTIOQUIA,Antioquia metropolitana,244817,163223,81594,1857,169,23934,14.66,106750,65.4,14177,82816,-50.74000000000001
01151,ITAGUI,ANTIOQUIA,Antioquia metropolitana,267999,161696,106303,2912,205,39461,24.4,90656,56.06,13637,51195,-31.660000000000004
27082,FLORIDABLANCA,SANTANDER,Santanderes urbanos,224184,156443,67741,2252,102,42163,26.95,90033,57.55,8763,47870,-30.599999999999998
01214,RIONEGRO,ANTIOQUIA,Antioquia rural uribista,135018,99730,35288,1324,111,18050,18.09,58712,58.87,7243,40662,-40.78
01218,SABANETA,ANTIOQUIA,Antioquia metropolitana,99546,70950,28596,882,54,11895,16.76,43977,61.98,6874,32082,-45.22
25100,VILLA DEL ROSARIO,NORTE DE SAN,Norte Santander urbano (Cúcuta),108675,46776,61899,446,42,5353,11.44,36138,77.25,1711,30785,-65.81
46001,YOPAL,CASANARE,Llanos petroleros,135269,93390,41879,1671,145,25755,27.57,54089,57.91,3579,28334,-30.339999999999996
27160,PIEDECUESTA,SANTANDER,Santanderes urbanos,134577,93397,41180,1565,98,26051,27.89,54278,58.11,4198,28227,-30.22
25054,LOS PATIOS,NORTE DE SAN,Norte Santander urbano (Cúcuta),83857,46168,37689,478,26,6987,15.13,33470,72.49,2123,26483,-57.35999999999999
