codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,votos_validos,votos_cepeda,pct_cepeda,afinidad,score_defensa
16001,BOGOTA. D.C.,BOGOTA D.C.,Bogotá centro/occidente,6076599,4094508,1706249,41.67,0.4167,711022.0
31001,CALI,VALLE,Valle del Cauca,1839148,1053010,541270,51.4,0.514,278225.0
05001,CARTAGENA,BOLIVAR,Caribe + Magdalena Medio,866447,418110,239504,57.28,0.5728,137194.0
03001,BARRANQUILLA,ATLANTICO,Caribe norte,1186097,598064,281123,47.0,0.4701,132143.0
23001,PASTO,NARIÑO,Sur andino Nariño,315437,213368,140876,66.02,0.6602,93013.0
15247,SOACHA,CUNDINAMARCA,Bogotá región,362686,255080,139603,54.72,0.5473,76403.0
03052,SOLEDAD,ATLANTICO,Caribe norte,343745,168549,104590,62.05,0.6205,64901.0
11001,POPAYAN,CAUCA,Pacífico indígena/campesino,269520,184022,104468,56.76,0.5677,59306.0
21001,SANTA MARTA,MAGDALENA,Caribe norte,408863,215262,112812,52.4,0.5241,59121.0
31019,BUENAVENTURA,VALLE,Pacífico afro,233201,89716,72065,80.32,0.8033,57887.0
13001,MONTERIA,CORDOBA,Caribe + Magdalena Medio,374004,207008,104497,50.47,0.5048,52750.0
31079,PALMIRA,VALLE,Valle del Cauca,289345,163830,90115,55.0,0.5501,49568.0
12001,VALLEDUPAR,CESAR,Caribe norte,348470,188358,89773,47.66,0.4766,42787.0
27019,BARRANCABERMEJA,SANTANDER,Magdalena Medio,188674,119407,69511,58.21,0.5821,40465.0
28001,SINCELEJO,SUCRE,Caribe + Magdalena Medio,221269,125329,71183,56.79,0.568,40430.0
29001,IBAGUE,TOLIMA,Sur Tolima-Huila-Caquetá,474707,304909,109574,35.93,0.3594,39377.0
24001,PEREIRA,RISARALDA,Eje cafetero,463062,273599,96694,35.34,0.3534,34173.0
23139,TUMACO,NARIÑO,Pacífico afro,143672,54029,41118,76.1,0.761,31292.0
31121,YUMBO,VALLE,Valle del Cauca,112799,65405,44723,68.37,0.6838,30581.0
19001,NEIVA,HUILA,Sur Tolima-Huila-Caquetá,297225,183829,71549,38.92,0.3892,27848.0
31064,JAMUNDI,VALLE,Valle del Cauca,132159,80922,45076,55.7,0.557,25109.0
31031,CANDELARIA,VALLE,Valle del Cauca,89247,54085,36468,67.42,0.6743,24589.0
11076,SANTANDER DE QUILICHAO,CAUCA,Pacífico indígena/campesino,87246,55584,36828,66.25,0.6626,24401.0
52001,VILLAVICENCIO,META,Llanos petroleros,405049,258018,78547,30.44,0.3044,23912.0
09001,MANIZALES,CALDAS,Eje cafetero,348633,230488,73993,32.1,0.321,23754.0
88355,ESPAÑA,CONSULADOS,Exterior (consulados),307996,127207,54162,42.57,0.4258,23061.0
17001,QUIBDO,CHOCO,Pacífico afro,88487,40138,29900,74.49,0.7449,22273.0
23067,IPIALES,NARIÑO,Sur andino Nariño,105954,56243,35198,62.58,0.6258,22028.0
31022,BUGA,VALLE,Valle del Cauca,109762,64729,36630,56.58,0.5659,20729.0
03022,MALAMBO,ATLANTICO,Caribe norte,94794,43119,29475,68.35,0.6836,20148.0
48001,RIOHACHA,LA GUAJIRA,Caribe norte,156388,69900,37453,53.58,0.5358,20068.0
07001,TUNJA,BOYACA,Boyacá-Cundi rural,142355,102433,44172,43.12,0.4312,19048.0
01035,APARTADO,ANTIOQUIA,Urabá,109813,54380,32102,59.03,0.5903,18951.0
31106,TULUA,VALLE,Valle del Cauca,173667,98087,43107,43.94,0.4395,18945.0
15340,ZIPAQUIRA,CUNDINAMARCA,Bogotá región,113388,83769,39011,46.56,0.4657,18167.0
26001,ARMENIA,QUINDIO,Eje cafetero,281258,169637,53484,31.52,0.3153,16863.0
15076,FACATATIVA,CUNDINAMARCA,Bogotá región,104308,72672,34701,47.75,0.4775,16570.0
05028,MAGANGUE,BOLIVAR,Caribe + Magdalena Medio,104516,45395,27393,60.34,0.6034,16530.0
13010,CERETE,CORDOBA,Caribe + Magdalena Medio,79044,44476,26771,60.19,0.6019,16114.0
13025,MONTELIBANO,CORDOBA,Caribe + Magdalena Medio,63005,31776,22618,71.17,0.7118,16099.0
31055,FLORIDA,VALLE,Valle del Cauca,54892,31380,22399,71.37,0.7138,15988.0
01280,TURBO,ANTIOQUIA,Urabá,99961,43958,26437,60.14,0.6014,15900.0
21016,CIENAGA,MAGDALENA,Caribe norte,94405,43313,25967,59.95,0.5995,15568.0
13022,LORICA,CORDOBA,Caribe + Magdalena Medio,93485,44707,26216,58.63,0.5864,15373.0
24025,DOSQUEBRADAS,RISARALDA,Eje cafetero,181405,107908,40698,37.71,0.3772,15349.0
03046,SABANALARGA,ATLANTICO,Caribe norte,76674,39061,24095,61.68,0.6169,14863.0
15160,MADRID,CUNDINAMARCA,Bogotá región,93544,68075,31763,46.65,0.4666,14820.0
11064,PUERTO TEJADA,CAUCA,Pacífico indígena/campesino,35830,21576,17750,82.26,0.8227,14602.0
13037,SAHAGUN,CORDOBA,Caribe + Magdalena Medio,85106,45057,25022,55.53,0.5553,13896.0
31049,EL CERRITO,VALLE,Valle del Cauca,56109,31177,20795,66.69,0.667,13870.0
13013,CIENAGA DE ORO,CORDOBA,Caribe + Magdalena Medio,48770,26400,18890,71.55,0.7155,13516.0
05118,TURBACO,BOLIVAR,Caribe + Magdalena Medio,77424,37755,22333,59.15,0.5915,13211.0
48010,MAICAO,LA GUAJIRA,Caribe norte,141996,49978,25692,51.4,0.5141,13207.0
15169,MOSQUERA,CUNDINAMARCA,Bogotá región,99110,73855,31194,42.23,0.4224,13175.0
11094,TORIBIO,CAUCA,Pacífico indígena/campesino,21550,15554,14215,91.39,0.9139,12991.0
64002,PUERTO ASIS,PUTUMAYO,Amazonía,53588,26197,18004,68.72,0.6873,12373.0
64001,MOCOA,PUTUMAYO,Amazonía,43380,25001,17187,68.74,0.6875,11815.0
05007,ARJONA,BOLIVAR,Caribe + Magdalena Medio,59799,26981,17814,66.02,0.6602,11762.0
23142,TUQUERRES,NARIÑO,Sur andino Nariño,36133,20286,15394,75.88,0.7588,11682.0
11016,CALDONO,CAUCA,Pacífico indígena/campesino,26334,17127,13997,81.72,0.8172,11439.0
31082,PRADERA,VALLE,Valle del Cauca,42523,23144,16082,69.48,0.6949,11175.0
11007,BOLIVAR,CAUCA,Pacífico indígena/campesino,29820,17799,14031,78.83,0.7883,11061.0
03004,BARANOA,ATLANTICO,Caribe norte,53101,29255,17979,61.45,0.6146,11049.0
15088,FUNZA,CUNDINAMARCA,Bogotá región,81479,58361,25293,43.33,0.4334,10962.0
07277,SOGAMOSO,BOYACA,Boyacá-Cundi rural,101453,70423,27481,39.02,0.3902,10724.0
07079,DUITAMA,BOYACA,Boyacá-Cundi rural,97592,69312,27239,39.29,0.393,10705.0
21095,ZONA BANANERA (SEVILLA),MAGDALENA,Caribe norte,51263,20309,14635,72.06,0.7206,10546.0
13058,TIERRALTA,CORDOBA,Caribe + Magdalena Medio,72667,28420,17296,60.85,0.6086,10526.0
64023,ORITO,PUTUMAYO,Amazonía,31867,15852,12783,80.63,0.8064,10308.0
28040,COROZAL,SUCRE,Caribe + Magdalena Medio,50627,30942,17816,57.57,0.5758,10258.0
11025,EL TAMBO,CAUCA,Pacífico indígena/campesino,40574,27492,16637,60.51,0.6052,10068.0
11005,ARGELIA,CAUCA,Pacífico indígena/campesino,22907,15791,12563,79.55,0.7956,9995.0
64028,VALLE DEL GUAMUEZ (LA HORMIGA),PUTUMAYO,Amazonía,30448,15068,12120,80.43,0.8044,9749.0
23037,CUMBAL,NARIÑO,Sur andino Nariño,26589,16111,12532,77.78,0.7779,9748.0
01088,CAUCASIA,ANTIOQUIA,Antioquia rural uribista,77720,37015,18877,50.99,0.51,9627.0
03013,GALAPA,ATLANTICO,Caribe norte,46368,22189,14528,65.47,0.6547,9512.0
31034,CARTAGO,VALLE,Valle del Cauca,122213,65738,24806,37.73,0.3773,9360.0
44001,FLORENCIA,CAQUETA,Sur Tolima-Huila-Caquetá,137546,78308,26756,34.16,0.3417,9142.0
15094,FUSAGASUGA,CUNDINAMARCA,Bogotá región,124137,82659,27302,33.02,0.3303,9018.0
28220,SAN ONOFRE,SUCRE,Caribe + Magdalena Medio,47066,18226,12645,69.37,0.6938,8773.0
11058,PATIA (EL BORDO),CAUCA,Pacífico indígena/campesino,28400,19132,12952,67.69,0.677,8768.0
11055,PAEZ (BELALCAZAR),CAUCA,Pacífico indígena/campesino,22832,13137,10711,81.53,0.8153,8733.0
15292,TOCANCIPA,CUNDINAMARCA,Bogotá región,43119,32953,16891,51.25,0.5126,8658.0
11019,CALOTO,CAUCA,Pacífico indígena/campesino,21544,14717,11285,76.68,0.7668,8653.0
11006,BALBOA,CAUCA,Pacífico indígena/campesino,17796,13864,10892,78.56,0.7856,8557.0
11049,MIRANDA,CAUCA,Pacífico indígena/campesino,22203,14805,11184,75.54,0.7554,8449.0
23115,SAMANIEGO,NARIÑO,Sur andino Nariño,22785,13058,10468,80.16,0.8017,8392.0
15109,GIRARDOT,CUNDINAMARCA,Bogotá región,87128,55222,21283,38.54,0.3854,8203.0
31061,GUACARI,VALLE,Valle del Cauca,30395,17574,11944,67.96,0.6796,8118.0
31124,ZARZAL,VALLE,Valle del Cauca,40013,22316,13457,60.3,0.603,8115.0
13028,PLANETA RICA,CORDOBA,Caribe + Magdalena Medio,57122,26892,14570,54.17,0.5418,7894.0
28160,SAMPUES,SUCRE,Caribe + Magdalena Medio,36533,20014,12495,62.43,0.6243,7801.0
11022,CORINTO,CAUCA,Pacífico indígena/campesino,19614,12983,10040,77.33,0.7733,7764.0
12150,AGUSTIN CODAZZI,CESAR,Caribe norte,54027,25097,13803,54.99,0.55,7591.0
28300,TOLU,SUCRE,Caribe + Magdalena Medio,26275,13801,10148,73.53,0.7353,7462.0
19061,PITALITO,HUILA,Sur Tolima-Huila-Caquetá,114211,64710,21913,33.86,0.3386,7420.0
13032,PUERTO LIBERTADOR,CORDOBA,Caribe + Magdalena Medio,32704,15047,10511,69.85,0.6985,7342.0
11034,JAMBALO,CAUCA,Pacífico indígena/campesino,10320,8010,7658,95.6,0.9561,7321.0
11098,VILLA RICA,CAUCA,Pacífico indígena/campesino,15869,10024,8512,84.91,0.8492,7228.0
11082,SILVIA,CAUCA,Pacífico indígena/campesino,24598,13219,9739,73.67,0.7367,7175.0
